Day 35,Day 39,Day 37,Day 38,Day 41,Day 36,Day 33,Day 34,Day 40,Day 32,Day 30,Day 28,Day 31,Day 27,Day 29,Day 26,Day 25,Day 24,Day 22,Day 23,Day 21,Day 20,Day 19,Day 18,Day 16,Day 17,Day 15,Day 14,Day 12,Day 13,Day 10,Day 11,Day 2,Day 4,Day 1,Day 3,Day 5,Day 6,Day 7,Day 9,Day 8
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c

15.5,49.333333333333336,46.166666666666664,49.083333333333336,46.75,27.416666666666668,28.0,24.083333333333332,37.416666666666664,32.25,21.083333333333332,47.583333333333336,14.0,29.583333333333332,20.166666666666668,22.0,22.5,21.0,16.166666666666668,22.916666666666668,15.166666666666666,17.416666666666668,11.25,19.5,15.75,18.583333333333332,8.083333333333334,9.5,7.666666666666667,10.75,15.166666666666666,15.333333333333334,9.916666666666666,9.5,19.666666666666668,9.75,9.666666666666666,10.166666666666666,12.583333333333334,13.333333333333334,10.833333333333334
8.18018018018018,15.162162162162161,15.54054054054054,17.65765765765766,16.99099099099099,9.504504504504505,9.486486486486486,11.99099099099099,20.64864864864865,10.26126126126126,7.5675675675675675,11.666666666666666,8.693693693693694,11.27927927927928,10.972972972972974,9.441441441441441,9.82882882882883,10.693693693693694,10.35135135135135,10.981981981981981,5.954954954954955,7.486486486486487,6.036036036036036,6.504504504504505,6.63963963963964,6.486486486486487,5.198198198198198,6.018018018018018,5.945945945945946,6.063063063063063,6.585585585585585,8.405405405405405,6.225225225225225,5.1441441441441444,8.522522522522523,5.945945945945946,5.954954954954955,6.225225225225225,6.072072072072072,7.324324324324325,5.81981981981982
5.912698412698413,7.073412698412699,6.376984126984127,6.388888888888889,7.688492063492063,5.9186507936507935,6.067460317460317,7.873015873015873,6.4226190476190474,5.263888888888889,5.325396825396825,5.380952380952381,4.625,5.442460317460317,5.648809523809524,4.013888888888889,4.573412698412699,4.228174603174603,4.309523809523809,5.071428571428571,3.505952380952381,3.6507936507936507,3.117063492063492,3.9206349206349205,3.740079365079365,3.251984126984127,2.628968253968254,2.8968253968253967,3.107142857142857,3.0555555555555554,2.9801587301587302,2.9742063492063493,3.9702380952380953,3.011904761904762,5.279761904761905,3.636904761904762,3.3154761904761907,3.136904761904762,3.369047619047619,3.2837301587301586,3.1051587301587302
14.782051282051283,26.0,19.615384615384617,20.435897435897434,15.371794871794872,16.653846153846153,24.435897435897434,19.08974358974359,18.064102564102566,23.5,15.846153846153847,22.833333333333332,13.961538461538462,20.67948717948718,19.358974358974358,17.53846153846154,17.5,15.948717948717949,16.923076923076923,19.23076923076923,11.76923076923077,12.717948717948717,12.153846153846153,10.35897435897436,9.705128205128204,8.756410256410257,9.448717948717949,10.0,8.5,7.448717948717949,10.833333333333334,9.256410256410257,7.884615384615385,6.166666666666667,8.294871794871796,7.294871794871795,6.461538461538462,7.089743589743589,6.769230769230769,7.5,7.6923076923076925
17.966666666666665,19.977777777777778,16.322222222222223,15.755555555555556,20.766666666666666,15.777777777777779,22.08888888888889,16.844444444444445,12.477777777777778,22.244444444444444,13.411111111111111,12.466666666666667,11.544444444444444,11.844444444444445,13.233333333333333,7.611111111111111,7.4222222222222225,8.144444444444444,6.6,8.255555555555556,4.377777777777778,4.666666666666667,4.066666666666666,4.988888888888889,3.911111111111111,4.166666666666667,3.2,3.466666666666667,4.355555555555555,5.044444444444444,3.566666666666667,4.133333333333334,4.144444444444445,3.466666666666667,5.088888888888889,3.522222222222222,2.966666666666667,3.8,3.077777777777778,3.411111111111111,3.5555555555555554
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,288.0,89.0,158.0,67.0,12.0,1.0,16.0,2.0,7.0,4.0,1.0,3.0,7.0,12.0,4.0,1.0,4.0,1.0
0.4,0.6444444444444445,0.6666666666666666,0.6222222222222222,0.4888888888888889,0.6,0.4,1.0,0.5111111111111111,0.28888888888888886,1.0888888888888888,0.9333333333333333,0.4222222222222222,0.7111111111111111,0.4888888888888889,1.0666666666666667,0.7777777777777778,1.511111111111111,2.1555555555555554,2.4444444444444446,47.0,15.155555555555555,12.466666666666667,9.644444444444444,7.666666666666667,7.355555555555555,8.11111111111111,8.488888888888889,9.622222222222222,9.088888888888889,10.155555555555555,7.933333333333334,9.311111111111112,9.0,9.222222222222221,10.555555555555555,7.311111111111111,7.711111111111111,6.666666666666667,11.577777777777778,7.8
0.11552346570397112,0.11552346570397112,0.1263537906137184,0.18772563176895307,0.07220216606498195,0.16606498194945848,0.1624548736462094,0.20216606498194944,0.148014440433213,0.27075812274368233,0.37906137184115524,0.49458483754512633,0.36823104693140796,0.35379061371841153,0.48375451263537905,0.4584837545126354,0.4729241877256318,0.44404332129963897,0.6498194945848376,0.30685920577617326,12.527075812274369,13.826714801444043,10.664259927797834,9.989169675090253,6.844765342960288,9.249097472924188,5.88086642599278,6.364620938628159,4.176895306859206,5.277978339350181,5.386281588447654,4.8953068592057765,4.505415162454874,3.9241877256317688,5.155234657039712,3.732851985559567,3.7689530685920576,4.209386281588448,4.209386281588448,4.407942238267148,3.299638989169675
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,146.0,128.0,158.0,26.0,56.0,23.0,18.0,18.0,31.0,51.0,35.0,31.0,33.0,28.0,17.0,27.0,23.0,24.0,68.0,34.0
1.25,0.8928571428571429,2.0357142857142856,1.5,1.5357142857142858,2.3214285714285716,3.5,1.8928571428571428,1.6428571428571428,0.9285714285714286,4.892857142857143,6.678571428571429,4.321428571428571,5.857142857142857,4.714285714285714,6.857142857142857,6.75,5.571428571428571,7.75,5.821428571428571,16.25,20.5,17.571428571428573,28.571428571428573,46.785714285714285,53.142857142857146,33.0,23.75,18.714285714285715,18.892857142857142,12.535714285714286,15.928571428571429,12.5,10.5,14.428571428571429,13.392857142857142,12.321428571428571,12.857142857142858,16.25,14.178571428571429,16.214285714285715
